X,Y,REF_ID_COD,UNIQUE_ID,DATE,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,nlcd_2006_
1466818.133,1116343.149,ODOT2011,LS_90,11/29/07,Tcr,Basalt of Columbia River Group,vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,0
1490132.199,1124940.835,ODOT2011,LS_91,11/29/07,Tcr,Basalt of Columbia River Group,vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,0
1516081.036,1117268.979,ODOT2011,LS_92,11/27/07,Tcu1,"Columbia River Group, undivided",vol.M.nvr.nd.nd.nd.mix,volcanic rocks,Miocene,Neogene volcanic rocks,No data,No data,no data,mixed lithologies,0
1516685.146,1116857.14,ODOT2011,LS_93,11/27/07,Tcu1,"Columbia River Group, undivided",vol.M.nvr.nd.nd.nd.mix,volcanic rocks,Miocene,Neogene volcanic rocks,No data,No data,no data,mixed lithologies,0
1516858.77,1116441.811,ODOT2011,LS_94,11/27/07,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,0
1516656.478,1112548.681,ODOT2011,LS_95,11/29/07,Tjd,John Day Formation,vlc.EO.jdcl.jd.nd.nd.fel,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,felsic composition lithologies,0
1536451.348,1050944.82,ODOT2011,LS_96,11/29/07,Qls1,Landslide material,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,0
1924365.236,1318695.916,ODOT2011,LS_97,9/13/07,Tcgr2,R2 Grande Ronde Basalt,vol.M.cr.gr.r2.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Reversed magnetostratigraphic unit 2,no data,basalt,0
1975381.31,755763.312,ODOT2011,LS_98,11/30/07,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,0
2017159.306,752036.3983,ODOT2011,LS_99,11/30/07,Tbtl,Western tholeiitic lavas,vol.M.cr.mg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Basalt of Malheur Gorge,No data,no data,basalt,0
2018263.19,751563.4715,ODOT2011,LS_100,12/6/07,Tbtl,Western tholeiitic lavas,vol.M.cr.mg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Basalt of Malheur Gorge,No data,no data,basalt,0
2019604.522,750810.0364,ODOT2011,LS_101,11/30/07,Tbtl,Western tholeiitic lavas,vol.M.cr.mg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Basalt of Malheur Gorge,No data,no data,basalt,0
2091216.624,790557.1821,ODOT2011,LS_102,11/30/07,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,0
2091782.942,790963.0715,ODOT2011,LS_103,11/30/07,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,0
1847102.876,1502665.99,ODOT2011,LS_104,10/18/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,0
1847102.763,1502618.833,ODOT2011,LS_105,10/18/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,0
